Date,Lv,AP,Next,Cell#,UPC,Link,CF,X8,X7,R8,R7,PC8,PC7,US8,US7,GH,Recharge,Trekker,UPV,ResDeploy,ModDeploy,ResDestroy,Hack,ADA,JARVIS,AXA,LPC,SBUL,VRHS,VRMH
2014/07/16,1,0,10000,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2014/07/22,3,26807,70000,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/07/23,3,36912,70000,25,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/07/24,3,45127,70000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/07/31,3,56257,70000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/01,3,59707,70000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/02,3,61522,70000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/04,3,67522,70000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/05,4,72126,150000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/06,4,86203,150000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/07,4,97793,150000,43,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/08,4,100877,150000,44,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/11,4,108708,150000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/12,4,114029,150000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/13,4,117979,150000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/18,4,134657,150000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/19,4,136557,150000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/21,4,142002,150000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/22,4,146372,150000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/25,5,161195,300000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/26,5,164730,300000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/27,5,187537,300000,64,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/28,5,221920,300000,61,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/29,5,226743,300000,67,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/30,5,235186,300000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/31,5,248369,300000,30,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/01,5,250057,300000,38,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/02,5,257887,300000,43,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/03,5,276305,300000,52,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/04,6,309872,600000,58,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/05,6,341498,600000,62,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/06,6,350037,600000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/08,6,352852,600000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/09,6,354937,600000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/10,6,407287,600000,100,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/11,6,434880,600000,51,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/12,6,457037,600000,57,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/13,6,500006,600000,61,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/14,6,507908,600000,46,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/15,6,508008,600000,71,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/16,6,508428,600000,93,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/17,6,512321,600000,107,,,,,,,,,,,,,,,,,,,,,,,,,,
